"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.715095240E-1,-3.231250122E-2,6.324999966E-3,1.374999993E-4
7.740166130E-1,-2.749999985E-2,7.424999960E-3,1.361249946E-2
7.765227670E-1,-1.402499992E-2,2.612499986E-3,2.584999986E-2
7.790298420E-1,-1.787499990E-3,-5.912499968E-3,2.942499891E-2
7.815377840E-1,1.402499992E-2,-1.691249944E-2,2.942499891E-2
7.840448630E-1,2.749999985E-2,-2.433750033E-2,2.337500080E-2
7.865510170E-1,3.726249933E-2,-1.443750039E-2,1.361249946E-2
7.890580920E-1,3.478749841E-2,2.612499986E-3,1.374999993E-4
7.915658610E-1,2.502499893E-2,1.113750041E-2,-1.567500085E-2
7.940729110E-1,1.292499993E-2,1.237499993E-2,-2.543750033E-2
7.965792950E-1,-3.024999984E-3,8.662499487E-3,-3.286249936E-2
7.990861400E-1,-1.649999991E-2,1.374999993E-3,-3.162499890E-2
8.015941450E-1,-2.131249942E-2,-5.912499968E-3,-2.062499896E-2
8.041011470E-1,-2.378750034E-2,-1.099999994E-3,-3.437499981E-3
8.066073770E-1,-2.378750034E-2,8.662499487E-3,1.856249943E-2
8.091144520E-1,-1.883750036E-2,1.732499897E-2,2.942499891E-2
8.116223750E-1,-6.737499963E-3,8.662499487E-3,3.313750029E-2
8.141294540E-1,3.024999984E-3,-1.209999993E-2,2.832499892E-2
8.166356080E-1,1.168750040E-2,-3.286249936E-2,1.856249943E-2
8.191426830E-1,2.144999988E-2,-3.162499890E-2,8.662499487E-3
8.216504520E-1,2.997500077E-2,-1.333750039E-2,-1.099999994E-3
8.241577620E-1,2.997500077E-2,1.237499993E-2,-7.149999961E-3
8.266639160E-1,1.526249945E-2,2.818750031E-2,-1.691249944E-2
8.291709910E-1,-1.787499990E-3,2.708750032E-2,-2.543750033E-2
8.316786830E-1,-2.007500082E-2,8.662499487E-3,-3.038750030E-2
8.341858390E-1,-3.107500076E-2,-1.333750039E-2,-2.543750033E-2
8.366920030E-1,-3.478749841E-2,-1.333750039E-2,-1.443750039E-2
8.391990780E-1,-3.107500076E-2,5.087499972E-3,2.612499986E-3
8.417070010E-1,-2.007500082E-2,2.708750032E-2,1.966249943E-2
8.442140800E-1,-4.262499977E-3,2.337500080E-2,2.832499892E-2
8.467203110E-1,1.168750040E-2,-2.337499987E-3,2.708750032E-2
